lifetime,pellet_efficiency,ghost_eating_efficiency,backtracking_rate,level_reached,external_reward,pellets_eaten,power_pellets_eaten,ghosts_eaten,eval_episode,eval_seed,seed,agent_style
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,0,1000,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,1,1001,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,2,1002,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,3,1003,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,4,1004,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,5,1005,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,6,1006,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,7,1007,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,8,1008,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,9,1009,1,Vanilla
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,0,1000,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,1,1001,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,2,1002,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,3,1003,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,4,1004,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,5,1005,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,6,1006,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,7,1007,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,8,1008,1,Hull
531,0.013182674199623353,0,0.9303201506591338,0,70.0,7,0,0,9,1009,1,Hull
